group	sample	torus_width	torus_height	periodic_interval	warmup_ticks	warmup_duration	warmup_packet_pool_size	sample_ticks	sample_duration	sample_packet_pool_size
2	1	12	12	1	1000000	90.541	4095	100000	9.050	4095
4	1	11	11	1	1000000	76.916	4095	100000	7.700	4095
6	1	10	10	1	1000000	63.880	4095	100000	6.394	4095
8	1	9	9	1	1000000	52.701	4095	100000	5.266	4095
10	1	8	8	1	1000000	42.168	2047	100000	4.218	2047
12	1	7	7	1	1000000	33.362	2047	100000	3.332	2047
14	1	6	6	1	1000000	25.275	1023	100000	2.529	1023
16	1	5	5	1	1000000	17.715	1023	100000	1.768	1023
18	1	4	4	1	1000000	11.289	511	100000	1.127	511
20	1	3	3	1	1000000	5.810	255	100000	0.579	255
22	1	2	2	1	1000000	1.997	127	100000	0.200	127
